"","grid_id","times_sampled","mean_count","hotpvalue_3xmean"
"6207",6207,1,0,0
"6208",6208,1,0,0
"6209",6209,1,0,0
"6210",6210,1,0,0
"6211",6211,1,0,0
"6212",6212,1,1.1534,0
"6297",6297,1,0,0
"6298",6298,1,1.7241,0
"6299",6299,1,0.2873,0
"6300",6300,1,0,0
"6301",6301,1,0,0
"6302",6302,1,0,0
"6303",6303,1,0.5746,0
"6304",6304,1,4.5969,0
"6305",6305,1,0,0
"6306",6306,1,0,0
"6307",6307,1,0,0
"6398",6398,1,0,0
"6399",6399,1,0,0
"6400",6400,1,0.2871,0
"6401",6401,1,0.8614,0
"6402",6402,1,0,0
"6403",6403,1,0,0
"6404",6404,1,8.6133,0
"6405",6405,1,0.2871,0
"6406",6406,1,0.2871,0
"6407",6407,1,0.2871,0
"6408",6408,1,0.2871,0
"6409",6409,1,0,0
"6410",6410,1,0,0
"6411",6411,1,0,0
"6412",6412,1,0,0
"6510",6510,3,0.7242,0
"6511",6511,3,0.240066666666667,0
"6512",6512,3,0.274833333333333,0
"6513",6513,3,0,0
"6514",6514,3,1.6671,0
"6517",6517,1,0,0
"6518",6518,1,0,0
"6519",6519,1,0.2869,0
"6520",6520,1,0.2869,0
"6521",6521,1,0.2869,0
"6522",6522,1,3.443,0
"6523",6523,1,0.5738,0
"6524",6524,1,0.2869,0
"6525",6525,1,0.5738,0
"6526",6526,1,0,0
"6527",6527,1,0.2869,0
"6528",6528,1,0,0
"6529",6529,1,4.5901,0
"6530",6530,1,1.4343,0
"6531",6531,1,1.1474,0
"6532",6532,1,0,0
"6533",6533,1,0,0
"6534",6534,1,0,0
"6535",6535,1,0,0
"6536",6536,1,0,0
"6537",6537,1,0,0
"6538",6538,1,0,0
"6539",6539,1,0,0
"6650",6650,3,0,0
"6651",6651,3,0.190033333333333,0
"6652",6652,3,0.577066666666667,0
"6653",6653,3,0,0
"6654",6654,3,0,0
"6658",6658,1,0,0
"6659",6659,1,0,0
"6660",6660,1,0.2867,0
"6661",6661,1,0,0
"6662",6662,1,0.2867,0
"6663",6663,1,0.5734,0
"6664",6664,1,0.5734,0
"6665",6665,1,0.5734,0
"6666",6666,1,4.3004,0
"6667",6667,1,0.8601,0
"6668",6668,1,0.8601,0
"6669",6669,1,3.7268,0
"6670",6670,1,0.2867,0
"6671",6671,1,0.2867,0
"6672",6672,1,0.5734,0
"6673",6673,1,0,0
"6674",6674,1,0.5732,0
"6675",6675,1,4.2995,0
"6676",6676,1,1.1465,0
"6677",6677,1,0,0
"6678",6678,1,0,0
"6679",6679,1,0,0
"6680",6680,1,0.8598,0
"6681",6681,1,0,0
"6682",6682,1,0.4374,0
"6792",6792,3,0.2988,0
"6793",6793,3,0.6177,0
"6794",6794,3,1.97953333333333,0
"6795",6795,3,1.6283,0
"6796",6796,3,0.5817,0
"6800",6800,1,0.3224,0
"6801",6801,1,0,0
"6802",6802,1,1.1459,0
"6803",6803,1,2.2919,0
"6804",6804,1,0,0
"6805",6805,1,3.724,0
"6806",6806,1,4.5835,0
"6807",6807,1,1.1458,0
"6808",6808,1,3.4375,0
"6809",6809,1,42.6812,0.9728
"6810",6810,1,1.7186,0
"6811",6811,1,25.2061,0.2492
"6812",6812,1,16.8991,1e-04
"6813",6813,1,1.1456,0
"6814",6814,1,0,0
"6815",6815,1,1.1456,0
"6816",6816,1,0.2864,0
"6817",6817,1,1.1456,0
"6818",6818,1,0.2864,0
"6819",6819,1,18.0417,4e-04
"6820",6820,1,3.7227,0
"6821",6821,1,12.3131,0
"6822",6822,1,1.1454,0
"6823",6823,1,4.0087,0
"6824",6824,1,1.718,0
"6825",6825,1,8.876,0
"6826",6826,1,0.8622,0
"6930",6930,3,17.8079333333333,4e-04
"6931",6931,3,6.0763,0
"6932",6932,3,1.53626666666667,0
"6933",6933,3,8.81273333333333,0
"6934",6934,3,0.500733333333333,0
"6938",6938,1,0.8588,0
"6939",6939,1,0,0
"6940",6940,1,1.1451,0
"6941",6941,1,0.2863,0
"6942",6942,1,0.5725,0
"6943",6943,1,6.8701,0
"6944",6944,1,0.2863,0
"6945",6945,1,2.0037,0
"6946",6946,1,0.2862,0
"6947",6947,1,6.2972,0
"6948",6948,1,1.4311,0
"6949",6949,1,0.8587,0
"6950",6950,1,1.1449,0
"6951",6951,1,1.1448,0
"6952",6952,1,0.8586,0
"6953",6953,1,0,0
"6954",6954,1,0.8586,0
"6955",6955,1,2.2895,0
"6956",6956,1,0,0
"6957",6957,1,4.8649,0
"6958",6958,1,0.5723,0
"6959",6959,1,2.0031,0
"6960",6960,1,0,0
"6961",6961,1,0.2861,0
"6962",6962,1,0,0
"6963",6963,1,1.1445,0
"6964",6964,1,0.5722,0
"6965",6965,1,0,0
"6966",6966,1,0,0
"7066",7066,3,0.2629,0
"7067",7067,3,0.202066666666667,0
"7068",7068,3,1.30133333333333,0
"7069",7069,3,3.20006666666667,0
"7070",7070,3,16.2232,0
"7071",7071,3,1.94076666666667,0
"7075",7075,1,0,0
"7076",7076,1,0,0
"7077",7077,1,0.2861,0
"7078",7078,1,0,0
"7079",7079,1,0.286,0
"7080",7080,1,13.7303,0
"7081",7081,1,0.286,0
"7082",7082,1,21.7391,0.0362
"7083",7083,1,1.7163,0
"7084",7084,1,875.5471,1
"7085",7085,1,0.8581,0
"7086",7086,1,0,0
"7087",7087,1,0.286,0
"7088",7088,1,0,0
"7089",7089,1,0.286,0
"7090",7090,1,0.286,0
"7091",7091,1,0,0
"7092",7092,1,0,0
"7093",7093,1,0,0
"7094",7094,1,0.286,0
"7095",7095,1,0.858,0
"7096",7096,1,0.286,0
"7097",7097,1,11.4381,0
"7098",7098,1,2.5734,0
"7099",7099,1,0,0
"7100",7100,1,0.2859,0
"7101",7101,1,0.2859,0
"7102",7102,1,0.2859,0
"7103",7103,1,0.3263,0
"7211",7211,3,0.243433333333333,0
"7212",7212,3,0.4977,0
"7213",7213,3,0.143,0
"7214",7214,3,2.42566666666667,0
"7215",7215,3,8.61893333333333,0
"7216",7216,3,1.96913333333333,0
"7355",7355,3,0.129033333333333,0
"7356",7356,3,0,0
"7357",7357,3,0.401366666666667,0
"7358",7358,3,0,0
"7359",7359,3,3.42103333333333,0
"7360",7360,3,0.366,0
"7507",7507,3,0.550666666666667,0
"7508",7508,3,0.288266666666667,0
"7509",7509,3,1.00313333333333,0
"7510",7510,3,0.2243,0
"7511",7511,3,0.1099,0
"7512",7512,3,0.1292,0
"7652",7652,3,0.147933333333333,0
"7653",7653,3,1.34156666666667,0
"7654",7654,3,2.70763333333333,0
"7655",7655,3,0.125666666666667,0
"7656",7656,3,4.37783333333333,0
"7657",7657,3,1.16983333333333,0
"7658",7658,3,1.72636666666667,0
"7798",7798,3,3.92923333333333,0
"7799",7799,3,1.6323,0
"7800",7800,3,2.2247,0
"7801",7801,3,0,0
"7802",7802,3,0,0
"7803",7803,3,0.147666666666667,0
"7804",7804,3,0,0
"7936",7936,3,2.196,0
"7937",7937,3,1.66826666666667,0
"7938",7938,3,0.447266666666667,0
"7939",7939,3,0.168766666666667,0
"7940",7940,3,0,0
"7941",7941,3,0,0
"7942",7942,3,0,0
"8079",8079,3,1.0722,0
"8080",8080,3,0.389,0
"8081",8081,3,0.298366666666667,0
"8082",8082,3,0,0
"8083",8083,3,0,0
"8084",8084,3,0,0
"8085",8085,3,0.153,0
"8098",8098,7,0.506085714285714,0
"8099",8099,7,6.83905714285714,0
"8100",8100,7,2.05797142857143,0
"8224",8224,3,2.1987,0
"8225",8225,3,1.4657,0
"8226",8226,3,1.98846666666667,0
"8227",8227,3,0,0
"8228",8228,3,0.140433333333333,0
"8229",8229,3,0,0
"8230",8230,3,0,0
"8243",8243,7,0.575471428571429,0
"8244",8244,7,0.503057142857143,0
"8245",8245,7,5.54741428571429,0
"8246",8246,7,0,0
"8247",8247,7,0.303271428571429,0
"8248",8248,6,0.1567,0
"8377",8377,3,0.76,0
"8378",8378,3,0.794833333333333,0
"8379",8379,3,16.0597333333333,0
"8380",8380,3,36.6823333333333,0.9222
"8381",8381,3,0.5199,0
"8382",8382,3,0.2172,0
"8383",8383,3,0.2281,0
"8396",8396,7,0,0
"8397",8397,7,0.5226,0
"8398",8398,7,1.33118571428571,0
"8399",8399,7,1.99787142857143,0
"8400",8400,7,33.5974,0.8511
"8401",8401,6,1.70455,0
"8402",8402,6,1.26536666666667,0
"8522",8522,3,1.2022,0
"8523",8523,3,0.708,0
"8524",8524,3,8.14383333333333,0
