"","grid_id","zscore","bin","surveyed","num_times_","midx","midy","abun_std","trans_len"
"6207",6207,-0.213303436750141,"0",1,1,-85.520968834,46.077257126,0,3.279900508
"6208",6208,-0.255607984993664,"0",1,1,-85.4760027317,46.077257126,0,3.477293662
"6209",6209,-0.25692574280677,"0",1,1,-85.4310366294,46.077257126,0,3.477348547
"6210",6210,-0.25692574280677,"0",1,1,-85.3860705271,46.077257126,0,3.477406516
"6211",6211,-0.251631754101158,"0",1,1,-85.3411044248,46.077257126,0,3.47746757
"6212",6212,-0.213282235575254,"0",1,1,-85.2961383225,46.077257126,1.153,1.733993614
"6297",6297,-0.213303436750141,"0",1,1,-85.5659349363,46.0322910237,0,3.480047439
"6298",6298,-0.277893215956873,"0",1,1,-85.520968834,46.0322910237,1.724,3.480116581
"6299",6299,-0.275535270292584,"0",1,1,-85.4760027317,46.0322910237,0.287,3.480188805
"6300",6300,-0.286154241620433,"0",1,1,-85.4310366294,46.0322910237,0,3.48026411
"6301",6301,-0.287333214452578,"0",1,1,-85.3860705271,46.0322910237,0,3.480342496
"6302",6302,-0.249589652146861,"0",1,1,-85.3411044248,46.0322910237,0,3.480423962
"6303",6303,-0.260171652201228,"0",1,1,-85.2961383225,46.0322910237,0.575,3.480508508
"6304",6304,-0.23186079541394,"0",1,1,-85.2511722202,46.0322910237,4.597,3.480596132
"6305",6305,-0.234500902530789,"0",1,1,-85.2062061179,46.0322910237,0,3.480686836
"6306",6306,-0.255607984993664,"0",1,1,-85.1612400155,46.0322910237,0,3.480780618
"6307",6307,-0.22244114312648,"0",1,1,-85.1162739132,46.0322910237,0,2.489304114
"6398",6398,-0.220919958828331,"0",1,1,-85.6109010386,45.9873249214,0,3.482674775
"6399",6399,-0.283796295956145,"0",1,1,-85.5659349363,45.9873249214,0,3.482725457
"6400",6400,-0.275535270292584,"0",1,1,-85.520968834,45.9873249214,0.287,3.482779225
"6401",6401,-0.280259377459713,"0",1,1,-85.4760027317,45.9873249214,0.861,3.482836079
"6402",6402,-0.283796295956145,"0",1,1,-85.4310366294,45.9873249214,0,3.482896018
"6403",6403,-0.233096356254669,"0",1,1,-85.3860705271,45.9873249214,0,3.482959042
"6404",6404,-0.244881976656835,"0",1,1,-85.3411044248,45.9873249214,8.613,3.48302515
"6405",6405,-0.242519923073271,"0",1,1,-85.2961383225,45.9873249214,0.287,3.483094342
"6406",6406,-0.264912191045459,"0",1,1,-85.2511722202,45.9873249214,0.287,3.483166617
"6407",6407,-0.283796295956145,"0",1,1,-85.2062061179,45.9873249214,0.287,3.483241974
"6408",6408,-0.284975268788289,"0",1,1,-85.1612400155,45.9873249214,0.287,3.483320413
