"","num_times_surv","kde_grid_id","kde","kde.bin","kde.75","gstat_grid_id","gstat","gstat.bin","gstat.75","persistence_grid_id","persistence","persistence.bin","persistence.75","conditional_grid_id","conditional","conditional.bin","conditional.75"
"15768",13,15768,0.004192097329845,0,0,15768,-0.255158018911141,0,0,15768,0.153846154,0,0,15768,0,0,0
"16919",15,16919,0.097268818055882,0,0,16919,-0.263030764017159,0,0,16919,0.4,0,0,16919,0,0,0
"10297",15,10297,0.306754841616279,0,0,10297,-0.127403701208544,0,0,10297,0.066666667,0,0,10297,0,0,0
"11222",17,11222,0.063523575663567,0,0,11222,-0.2283758540197,0,0,11222,0.058823529,0,0,11222,0,0,0
"16545",15,16545,0.012545532609026,0,0,16545,-0.280349751683779,0,0,16545,0.133333333,0,0,16545,0,0,0
"16749",27,16749,0.483744326233864,1,0.483744326233864,16749,-0.0295793554722681,1,-0.0295793554722681,16749,0.222222222,0,0,16749,0,0,0
"9356",6,9356,1.77289683222771,1,1.77289683222771,9356,0.420333931263964,1,0.420333931263964,9356,1,1,1,9356,0.9233,1,0.9233
"9623",7,9623,0.000642312852627,0,0,9623,-0.287103170973135,0,0,9623,0,0,0,9623,0,0,0
"11865",17,11865,0.180316979555707,0,0,11865,-0.24574053178547,0,0,11865,0.117647059,0,0,11865,0,0,0
"15429",4,15429,0.621311381459236,1,0.621311381459236,15429,0.0986879598909398,1,0.0986879598909398,15429,0.5,0,0,15429,0,0,0
"14879",13,14879,0.018864306683342,0,0,14879,-0.247109135822731,0,0,14879,0.307692308,0,0,14879,0,0,0
"11046",17,11046,0.037646959815174,0,0,11046,-0.264238492284234,0,0,11046,0.058823529,0,0,11046,0,0,0
"9216",7,9216,0.061920152790844,0,0,9216,-0.237060498355781,0,0,9216,0.142857143,0,0,9216,0,0,0
"16149",10,16149,3.35173127651215,1,3.35173127651215,16149,0.351426958423777,1,0.351426958423777,16149,0.5,0,0,16149,0.8964,1,0.8964
"16838",16,16838,0.313026681914926,0,0,16838,-0.135253934944529,0,0,16838,0.75,1,0.75,16838,0,0,0
"16839",16,16839,0.7105244114995,1,0.7105244114995,16839,-0.128582674040688,0,0,16839,0.6875,1,0.6875,16839,0.0636,1,0.0636
"14085",10,14085,0.007679701348146,0,0,14085,-0.285418924070072,0,0,14085,0.2,0,0,14085,0,0,0
"16825",15,16825,0.037219447034754,0,0,16825,-0.24082797662995,0,0,16825,0.266666667,0,0,16825,0,0,0
"11535",4,11535,0.03663830421865,0,0,11535,-0.246558156946171,0,0,11535,0.5,0,0,11535,0,0,0
"12138",12,12138,0.002820162510034,0,0,12138,-0.256085500020016,0,0,12138,0.083333333,0,0,12138,0,0,0
"11185",20,11185,0.179399274786313,0,0,11185,-0.251150661471651,0,0,11185,0.3,0,0,11185,0,0,0
"11005",20,11005,0.036863057874143,0,0,11005,-0.273855131308797,0,0,11005,0.3,0,0,11005,0,0,0
"16834",15,16834,0.00768303249497,0,0,16834,-0.253560180169118,0,0,16834,0.333333333,0,0,16834,0,0,0
"17209",13,17209,0.100123394280672,0,0,17209,-0.216529117815514,0,0,17209,0.307692308,0,0,17209,0,0,0
"11311",17,11311,3.26215140422185,1,3.26215140422185,11311,0.0764348434744174,1,0.0764348434744174,11311,0.647058824,1,0.647058824,11311,0.3741,1,0.3741
"11403",17,11403,0.127159007638693,0,0,11403,-0.2639221825,0,0,11403,0.176470588,0,0,11403,0,0,0
