survey_block_id,surveyid,grid_id_tx,grid_id,surveyed,num_times_surveyed,total_obs,total_len,block_survey_count
USGS_2_6207,USGS_2,6207,6207,1,1,0,111.5166173,0
USGS_2_6208,USGS_2,6208,6208,1,1,0,118.2279845,0
USGS_2_6209,USGS_2,6209,6209,1,1,0,118.2298506,0
USGS_2_6210,USGS_2,6210,6210,1,1,0,118.2318216,0
USGS_2_6211,USGS_2,6211,6211,1,1,0,118.2338974,0
USGS_2_6212,USGS_2,6212,6212,1,1,2,58.95579564,0.033923722
USGS_2_6297,USGS_2,6297,6297,1,1,0,118.3216129,0
USGS_2_6298,USGS_2,6298,6298,1,1,6,118.3239472,0.050708248
USGS_2_6299,USGS_2,6299,6299,1,1,1,118.3264306,0.008451197
USGS_2_6300,USGS_2,6300,6300,1,1,0,118.3289797,0
USGS_2_6301,USGS_2,6301,6301,1,1,0,118.3316449,0
USGS_2_6302,USGS_2,6302,6302,1,1,0,118.3344147,0
USGS_2_6303,USGS_2,6303,6303,1,1,2,118.3372807,0.016900845
USGS_2_6304,USGS_2,6304,6304,1,1,16,118.3402762,0.135203335
USGS_2_6305,USGS_2,6305,6305,1,1,0,118.3433524,0
USGS_2_6306,USGS_2,6306,6306,1,1,0,118.346541,0
USGS_2_6307,USGS_2,6307,6307,1,1,0,84.63633987,0
USGS_2_6398,USGS_2,6398,6398,1,1,0,118.4109423,0
USGS_2_6399,USGS_2,6399,6399,1,1,0,118.4126655,0
USGS_2_6400,USGS_2,6400,6400,1,1,1,118.4145144,0.008444911
USGS_2_6401,USGS_2,6401,6401,1,1,3,118.4163906,0.025334331
USGS_2_6402,USGS_2,6402,6402,1,1,0,118.4184646,0
USGS_2_6403,USGS_2,6403,6403,1,1,0,118.4206074,0
USGS_2_6404,USGS_2,6404,6404,1,1,30,118.42283,0.253329531
USGS_2_6405,USGS_2,6405,6405,1,1,1,118.4252133,0.008444148
USGS_2_6406,USGS_2,6406,6406,1,1,1,118.4276984,0.008443971
USGS_2_6407,USGS_2,6407,6407,1,1,1,118.4301851,0.008443793
USGS_2_6408,USGS_2,6408,6408,1,1,1,118.4328736,0.008443602
USGS_2_6409,USGS_2,6409,6409,1,1,0,118.4356658,0
USGS_2_6410,USGS_2,6410,6410,1,1,0,118.4385422,0
USGS_2_6411,USGS_2,6411,6411,1,1,0,118.4415234,0
USGS_2_6412,USGS_2,6412,6412,1,1,0,81.02087514,0
USGS_1_6510,USGS_1,6510,6510,1,3,6,93.89465654,0.0639014
USGS_15_6510,USGS_15,6510,6510,1,3,0,93.89467257,0
USGS_3_6510,USGS_3,6510,6510,1,3,0,93.89467257,0
USGS_1_6511,USGS_1,6511,6511,1,3,0,94.42712434,0
USGS_15_6511,USGS_15,6511,6511,1,3,0,94.42712434,0
USGS_3_6511,USGS_3,6511,6511,1,3,2,94.42718761,0.021180341
USGS_1_6512,USGS_1,6512,6512,1,3,2,164.9480037,0.012125033
USGS_15_6512,USGS_15,6512,6512,1,3,0,164.9480159,0
USGS_3_6512,USGS_3,6512,6512,1,3,2,164.9479914,0.012125034
USGS_1_6513,USGS_1,6513,6513,1,3,2,61.76235364,0.032382186
USGS_15_6513,USGS_15,6513,6513,1,3,0,61.76236738,0
USGS_3_6513,USGS_3,6513,6513,1,3,0,61.76236738,0
USGS_1_6514,USGS_1,6514,6514,1,3,24,163.1604822,0.147094442
USGS_15_6514,USGS_15,6514,6514,1,3,0,163.1605623,0
USGS_3_6514,USGS_3,6514,6514,1,3,0,163.1605623,0
USGS_2_6517,USGS_2,6517,6517,1,1,0,43.00416987,0
USGS_2_6518,USGS_2,6518,6518,1,1,0,118.4946388,0
USGS_2_6519,USGS_2,6519,6519,1,1,1,118.4961889,0.00843909
USGS_2_6520,USGS_2,6520,6520,1,1,1,118.4977773,0.008438977
USGS_2_6521,USGS_2,6521,6521,1,1,1,118.4995677,0.008438849
USGS_2_6522,USGS_2,6522,6522,1,1,12,118.5013247,0.101264691
USGS_2_6523,USGS_2,6523,6523,1,1,2,118.5033538,0.016877159
USGS_2_6524,USGS_2,6524,6524,1,1,1,118.5054496,0.00843843
USGS_2_6525,USGS_2,6525,6525,1,1,2,118.5075472,0.016876562
USGS_2_6526,USGS_2,6526,6526,1,1,0,118.5098298,0
USGS_2_6527,USGS_2,6527,6527,1,1,1,118.5122478,0.008437946
USGS_2_6528,USGS_2,6528,6528,1,1,0,118.5146764,0
USGS_2_6529,USGS_2,6529,6529,1,1,16,118.5172502,0.135001445
USGS_2_6530,USGS_2,6530,6530,1,1,5,118.5200003,0.042186973
USGS_2_6531,USGS_2,6531,6531,1,1,4,118.5227696,0.033748789
USGS_2_6532,USGS_2,6532,6532,1,1,0,118.5256271,0
USGS_2_6533,USGS_2,6533,6533,1,1,0,118.5286267,0
USGS_2_6534,USGS_2,6534,6534,1,1,0,118.531731,0
USGS_2_6535,USGS_2,6535,6535,1,1,0,118.53494,0
USGS_2_6536,USGS_2,6536,6536,1,1,0,118.5382537,0
USGS_2_6537,USGS_2,6537,6537,1,1,0,118.5416721,0
USGS_2_6538,USGS_2,6538,6538,1,1,0,118.5451951,0
USGS_2_6539,USGS_2,6539,6539,1,1,0,87.24524497,0
USGS_1_6650,USGS_1,6650,6650,1,3,0,85.09436306,0
USGS_15_6650,USGS_15,6650,6650,1,3,0,85.09436306,0
USGS_3_6650,USGS_3,6650,6650,1,3,0,85.09436306,0
USGS_1_6651,USGS_1,6651,6651,1,3,2,119.2675373,0.016769022
USGS_15_6651,USGS_15,6651,6651,1,3,0,119.2675051,0
USGS_3_6651,USGS_3,6651,6651,1,3,0,119.2675051,0
USGS_1_6652,USGS_1,6652,6652,1,3,3,157.1203807,0.01909364
USGS_15_6652,USGS_15,6652,6652,1,3,0,157.1203545,0
USGS_3_6652,USGS_3,6652,6652,1,3,5,157.1203807,0.031822733
USGS_1_6653,USGS_1,6653,6653,1,3,0,65.72644249,0
USGS_15_6653,USGS_15,6653,6653,1,3,0,65.72644249,0
USGS_3_6653,USGS_3,6653,6653,1,3,0,65.72644249,0
USGS_1_6654,USGS_1,6654,6654,1,3,0,186.3856701,0
USGS_15_6654,USGS_15,6654,6654,1,3,0,186.3856701,0
USGS_3_6654,USGS_3,6654,6654,1,3,0,186.3856701,0
USGS_2_6658,USGS_2,6658,6658,1,1,0,108.9659679,0
USGS_2_6659,USGS_2,6659,6659,1,1,0,118.5844439,0
USGS_2_6660,USGS_2,6660,6660,1,1,1,118.5857504,0.008432716
USGS_2_6661,USGS_2,6661,6661,1,1,0,118.5871953,0
USGS_2_6662,USGS_2,6662,6662,1,1,1,118.5887248,0.008432505
USGS_2_6663,USGS_2,6663,6663,1,1,2,118.5904629,0.016864763
USGS_2_6664,USGS_2,6664,6664,1,1,2,118.5921069,0.016864529
USGS_2_6665,USGS_2,6665,6665,1,1,2,118.5940431,0.016864253
USGS_2_6666,USGS_2,6666,6666,1,1,15,118.5958664,0.126479956
USGS_2_6667,USGS_2,6667,6667,1,1,3,118.5980185,0.025295532
USGS_2_6668,USGS_2,6668,6668,1,1,3,118.6000543,0.025295098
USGS_2_6669,USGS_2,6669,6669,1,1,13,118.6023829,0.109609939
USGS_2_6670,USGS_2,6670,6670,1,1,1,118.6047976,0.008431362
USGS_2_6671,USGS_2,6671,6671,1,1,1,118.6072024,0.008431191
USGS_2_6672,USGS_2,6672,6672,1,1,2,118.6097844,0.016862015
USGS_2_6673,USGS_2,6673,6673,1,1,0,118.6125207,0
USGS_2_6674,USGS_2,6674,6674,1,1,2,118.6153414,0.016861225
USGS_2_6675,USGS_2,6675,6675,1,1,15,118.6182388,0.126456101
USGS_2_6676,USGS_2,6676,6676,1,1,4,118.6212521,0.03372077
USGS_2_6677,USGS_2,6677,6677,1,1,0,118.6243177,0
USGS_2_6678,USGS_2,6678,6678,1,1,0,118.6275288,0
USGS_2_6679,USGS_2,6679,6679,1,1,0,118.6308446,0
USGS_2_6680,USGS_2,6680,6680,1,1,3,118.6342221,0.025287813
